rank,O score,matrix,c1,m1,c2,m2
75,2.014816178476579,"         114      128
366 7.01E+01 1.00E+02
393 8.45E+01 9.49E+01",114,393,128,366
76,2.0148085918739675,"         114       99
363 7.00E+01 1.01E+02
400 8.44E+01 9.58E+01",114,400,99,363
77,2.0147844053779496,"         114       99
371 7.13E+01 9.81E+01
381 8.73E+01 9.41E+01",114,381,99,371
78,2.0147391017646386,"         101      114
366 9.34E+01 7.01E+01
390 9.02E+01 8.63E+01",101,366,114,390
79,2.0147055342694284,"         114      128
366 7.01E+01 1.00E+02
411 8.62E+01 9.68E+01",114,411,128,366
80,2.014700966572106,"         114       NP
305 8.04E+01 9.35E+01
366 7.01E+01 1.04E+02",114,305,NP,366
81,2.0146819255291586,"         114       79
363 7.00E+01 1.09E+02
384 8.73E+01 1.06E+02",114,384,79,363
82,2.0146739536610796,"         101      114
261 9.87E+01 7.36E+01
383 9.07E+01 8.62E+01",101,261,114,383
83,2.0146687003515664,"         101      114
375 9.33E+01 7.12E+01
381 8.97E+01 8.73E+01",101,375,114,381
84,2.0146035125620436,"         101      114
363 9.52E+01 7.00E+01
393 9.02E+01 8.45E+01",101,363,114,393
85,2.0145733315541396,"         114       79
363 7.00E+01 1.09E+02
394 8.28E+01 1.01E+02",114,394,79,363
86,2.0145314258503175,"         114       99
363 7.00E+01 1.01E+02
380 8.30E+01 9.44E+01",114,380,99,363
87,2.0144871201769656,"         114      128
366 7.01E+01 1.00E+02
404 8.58E+01 9.65E+01",114,404,128,366
88,2.0144743286183244,"         114       99
333 8.24E+01 9.38E+01
363 7.00E+01 1.01E+02",114,333,99,363
89,2.014455321099486,"         101      114
366 9.34E+01 7.01E+01
384 9.14E+01 8.73E+01",101,366,114,384
90,2.014431190668864,"         114       99
363 7.00E+01 1.01E+02
402 8.23E+01 9.38E+01",114,402,99,363
91,2.0144205088205385,"         104      114
305 8.65E+01 8.04E+01
363 9.58E+01 7.00E+01",104,363,114,305
92,2.0144071239779437,"         101      114
370 9.34E+01 7.14E+01
381 8.97E+01 8.73E+01",101,370,114,381
93,2.014389430400566,"         114       NP
348 8.12E+01 9.46E+01
366 7.01E+01 1.04E+02",114,348,NP,366
94,2.0143684861419286,"         114       99
363 7.00E+01 1.01E+02
389 8.23E+01 9.38E+01",114,389,99,363
95,2.0143380913654436,"         101      114
363 9.52E+01 7.00E+01
387 8.92E+01 8.34E+01",101,363,114,387
96,2.014335701112054,"         101      114
305 8.61E+01 8.04E+01
363 9.52E+01 7.00E+01",101,363,114,305
97,2.014257416508855,"         101      114
371 9.31E+01 7.13E+01
381 8.97E+01 8.73E+01",101,371,114,381
98,2.0142039980315447,"         114      128
366 7.01E+01 1.00E+02
391 8.49E+01 9.57E+01",114,391,128,366
99,2.014194275077351,"         101      114
366 9.34E+01 7.01E+01
398 9.02E+01 8.59E+01",101,366,114,398
100,2.014175883600305,"         114      128
333 8.24E+01 9.38E+01
363 7.00E+01 1.01E+02",114,333,128,363
101,2.0141633566017374,"         114      128
261 7.36E+01 1.04E+02
383 8.62E+01 9.56E+01",114,383,128,261
102,2.014151658076865,"         114       86
366 7.01E+01 1.04E+02
401 8.64E+01 1.01E+02",114,401,86,366
103,2.0141414198592993,"         114       79
390 8.63E+01 1.01E+02
443 7.23E+01 1.08E+02",114,390,79,443
104,2.0141336052952057,"         114      128
366 7.01E+01 1.00E+02
394 8.28E+01 9.35E+01",114,394,128,366
105,2.014124829049972,"         114       99
366 7.01E+01 9.74E+01
384 8.73E+01 9.55E+01",114,384,99,366
106,2.014089686675299,"         114       86
373 7.17E+01 1.07E+02
401 8.64E+01 1.01E+02",114,401,86,373
107,2.014087722015101,"         104      114
297 9.08E+01 8.36E+01
366 9.65E+01 7.01E+01",104,366,114,297
108,2.0140862267701407,"         114      128
371 7.13E+01 9.94E+01
390 8.63E+01 9.48E+01",114,390,128,371
109,2.014082083593993,"         101      114
363 9.52E+01 7.00E+01
401 9.26E+01 8.64E+01",101,363,114,401
110,2.014058742978756,"         114      128
366 7.01E+01 1.00E+02
387 8.34E+01 9.43E+01",114,387,128,366
111,2.0140126038237973,"         114      128
305 8.04E+01 8.85E+01
371 7.13E+01 9.94E+01",114,305,128,371
112,2.0140114123654587,"         104      114
305 8.65E+01 8.04E+01
375 9.70E+01 7.12E+01",104,375,114,305
113,2.0139919973219036,"         114      128
363 7.00E+01 1.01E+02
397 8.46E+01 9.64E+01",114,397,128,363
114,2.0139639733364105,"         104      114
305 8.65E+01 8.04E+01
369 9.94E+01 7.30E+01",104,369,114,305
115,2.0139482809952454,"         114       NP
366 7.01E+01 1.04E+02
384 8.73E+01 1.02E+02",114,384,NP,366
116,2.0139405892690743,"         114      128
261 7.36E+01 1.04E+02
398 8.59E+01 9.55E+01",114,398,128,261
117,2.013936078584727,"         101      114
366 9.34E+01 7.01E+01
383 9.07E+01 8.62E+01",101,366,114,383
